symbol,method_of_action,cosmic_moa,intogen_moa,huang_et_al_moa,gene_id,dataset_name
HSP90AB1,Act,fusion,Act,,SIDG12035,Driver genes
HSPG2,ambiguous,,ambiguous,,SIDG12151,Driver genes
HTRA2,LoF,,LoF,,SIDG12191,Driver genes
ID3,LoF,,LoF,,SIDG12269,Driver genes
IDH1,Act,oncogene,Act,,SIDG12285,Driver genes
IDH2,Act,oncogene,Act,,SIDG12287,Driver genes
IFNAR1,LoF,,LoF,,SIDG12352,Driver genes
IFNGR1,LoF,,LoF,,SIDG12360,Driver genes
IGH,fusion,fusion,,,SIDG12439,Driver genes
IGK,fusion,fusion,,,SIDG12678,Driver genes
IGL,fusion,fusion,,,SIDG12798,Driver genes
IKBKB,ambiguous,oncogene,ambiguous,,SIDG12924,Driver genes
IKZF1,ambiguous,"TSG, fusion",ambiguous,,SIDG12928,Driver genes
IKZF3,ambiguous,,ambiguous,,SIDG12930,Driver genes
IL2,fusion,fusion,,,SIDG12944,Driver genes
IL21R,fusion,fusion,,,SIDG13010,Driver genes
IL6ST,Act,oncogene,Act,,SIDG12959,Driver genes
IL7R,Act,oncogene,Act,,SIDG12962,Driver genes
ING1,LoF,,LoF,,SIDG13083,Driver genes
INO80,ambiguous,,ambiguous,,SIDG13098,Driver genes
IRAK1,LoF,,LoF,,SIDG13216,Driver genes
IRF1,LoF,,LoF,,SIDG13222,Driver genes
IRF4,ambiguous,"oncogene, TSG, fusion",ambiguous,,SIDG13228,Driver genes
IRS4,ambiguous,"oncogene, TSG",LoF,,SIDG13241,Driver genes
ITK,fusion,fusion,,,SIDG13332,Driver genes
JAK1,ambiguous,"oncogene, TSG",ambiguous,,SIDG13374,Driver genes
JAK2,ambiguous,"oncogene, fusion",ambiguous,,SIDG13375,Driver genes
JAK3,Act,oncogene,Act,,SIDG13376,Driver genes
JUN,Act,oncogene,,,SIDG13419,Driver genes
KAT6A,ambiguous,"oncogene, fusion",ambiguous,,SIDG13444,Driver genes
KAT6B,ambiguous,"TSG, fusion",Act,,SIDG13445,Driver genes
KCNJ5,Act,oncogene,,,SIDG13529,Driver genes
KDM3B,ambiguous,,ambiguous,,SIDG13634,Driver genes
KDM5A,Act,"oncogene, fusion",Act,,SIDG13642,Driver genes
KDM5C,LoF,TSG,LoF,,SIDG13644,Driver genes
KDM6A,ambiguous,"oncogene, TSG",LoF,,SIDG13648,Driver genes
KDR,Act,oncogene,Act,,SIDG13653,Driver genes
KDSR,fusion,fusion,,,SIDG13654,Driver genes
KEAP1,ambiguous,TSG,Act,,SIDG13655,Driver genes
KEL,Act,,Act,,SIDG13656,Driver genes
KIF5B,Act,fusion,Act,,SIDG13735,Driver genes
KIFC1,Act,,Act,,SIDG13768,Driver genes
KIT,Act,oncogene,Act,,SIDG13799,Driver genes
KLF4,ambiguous,"oncogene, TSG",Act,,SIDG13819,Driver genes
KLF5,ambiguous,,ambiguous,,SIDG13821,Driver genes
KLF6,LoF,TSG,,,SIDG13822,Driver genes
KLHL36,ambiguous,,ambiguous,,SIDG13886,Driver genes
KLHL6,LoF,,LoF,,SIDG13856,Driver genes
KLK2,fusion,fusion,,,SIDG13892,Driver genes
KMT2A,ambiguous,"oncogene, fusion",LoF,,SIDG13924,Driver genes
KMT2B,LoF,,LoF,,SIDG13925,Driver genes
KMT2C,LoF,TSG,LoF,,SIDG13926,Driver genes
KMT2D,ambiguous,"oncogene, TSG",LoF,,SIDG13927,Driver genes
KNL1,LoF,"TSG, fusion",,,SIDG13936,Driver genes
KRAS,Act,oncogene,Act,,SIDG13960,Driver genes
KTN1,fusion,fusion,,,SIDG14310,Driver genes
LASP1,fusion,fusion,,,SIDG14414,Driver genes
LATS1,LoF,TSG,LoF,,SIDG14417,Driver genes
LATS2,LoF,TSG,LoF,,SIDG14418,Driver genes
LCK,Act,"oncogene, fusion",,,SIDG14457,Driver genes
LDB1,Act,,Act,,SIDG14482,Driver genes
LEF1,ambiguous,"oncogene, TSG",,,SIDG14514,Driver genes
LIFR,Act,fusion,Act,,SIDG14602,Driver genes
LMNA,fusion,fusion,,,SIDG16660,Driver genes
LMO1,Act,"oncogene, fusion",,,SIDG16667,Driver genes
LMO2,Act,"oncogene, fusion",,,SIDG16668,Driver genes
LOX,LoF,,LoF,,SIDG16705,Driver genes
LPAR4,LoF,,LoF,,SIDG16718,Driver genes
LPP,Act,"oncogene, fusion",Act,,SIDG16733,Driver genes
LRIG3,ambiguous,"TSG, fusion",ambiguous,,SIDG16756,Driver genes
